"Table 080-0020 Retail trade, sales by the North American Industry Classification System (NAICS), monthly (dollars x 1,000)(2,3,4,5,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail Trade Survey (Monthly) - 2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Retail Trade Survey (Department Store Organizations) - 2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,North American Industry Classification System (NAICS),Adjustments,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15
Canada,Retail trade [44-45] ,Unadjusted,19324692,19140440,22918829,22914155,25659687,25945400,24821347,25102965,24710257,23687124,24556357,29057176,20607642,19444855,23652255,24370700,27585889,27243919,25507932,26322941,24263969,24917747,26048646,30481412,22361219,20787209,24642692,26405170,29087583,28363263,27912328,28202300,26054411,27131743,27276942,31300554,23301871,21980804,25468203,27059495,30417563,28912102,29492832,29102135,27467571,28223631,27391422,32325789,23778728,23008594,26967793,28592026,30479247,30711705,30898334,29535183,29245397,29445711,29232659,34561103,24498615,24028226,28600602,30600811,31948565,32967426,32620077,32025283,30914826,30241532,30828069,36726743,25993203,25128165,30760061,32106585,34894460,35049112,34341547,35045180,33056559,31830349,32663281,38605976,27777968,26548520,32818504,33621240,38434319,37555708,35635889,36978090,34057842,34070363,35091406,40006665,30525699,29418898,32925876,36272111,39778972,37842321,38632038,37775417,36138751,36158245,34230901,38256712,29192654,26804723,31356949,33942769,37316515,36865690,37191480,36049418,35537357,36133694,34354756,40969765,30668321,28632551,34967182,36469949,38424455,38973462,38932294,37395330,36923390,37014326,37408825,43147947,31191594,29797949,36099866,38035760,40046516,40839556,39832282,39541248,38877263,38203872,39174736,45089701,32361808,32087072,37933733,37775805,42584571,41789242,40130908,41321526,39069513,39487597,40095933,43489091,33574671,31636843,37561378,39401295,44577490,42169145,42417829,43237460,40170270,41560987,41893714,44796794,34980327,32905708,38460091,41809373,46379543,44178750,45285331,44359733,43017529,43775478,42968326,46887481,35384283,33440812,39534738,42546027,46911265,45768152,46385922
Canada,Retail trade [44-45] ,Seasonally adjusted,23434451,23378327,23813646,23537859,23644020,23841011,24204193,24266358,24495699,24330740,24373656,24518477,24640517,24477976,24583988,24944482,25143416,25190078,24813831,25017925,24703734,25149772,25657476,26124705,26496729,26105990,26072633,26657565,26165998,26768924,26620588,26767279,26620259,27061844,27015215,27172388,27137545,27622538,27275170,27176306,27484615,27569750,27707861,28020755,27841344,27825024,27777531,27704978,27935993,28719948,28689514,28254086,28554094,28550528,28616168,28836665,29243662,29561177,29901036,29593609,29888781,30460620,30006264,29940271,29935878,30590992,30800241,30647393,30600008,30887481,31012789,31230056,31747679,31744450,31871717,32354405,32048264,32242363,33040218,33007575,32492838,32595465,32814138,33515367,33221023,33466188,33910296,34385868,34789277,34436278,34430726,34725483,34341226,34305870,34958995,35625285,35933156,35526909,35530142,35914167,36006888,36400129,36403867,36137537,36390521,35747571,34661690,33303365,33747849,33869426,33894022,33930673,34345160,34735113,34755444,35039739,35239195,35330869,35250896,35577384,36080033,36051781,37001843,36148495,36041318,36350588,36295314,36515170,36632898,36879707,37568029,37392857,37392259,37437926,37617167,37755408,37723958,38228307,37925826,37976798,38181654,38623692,38779553,39087795,39068876,38941521,39178610,38906105,38774246,38797884,38900925,38917668,39083285,39202503,39314083,39041093,39467323,39673155,39730603,39624180,40336989,40078110,40427993,40612438,40801594,40688574,40929477,40627441,40987122,41196102,41195582,41766311,41840181,42591017,42585330,42418849,42798575,42618991,42885738,42123870,41523405,42184063,42585129,42564252,42936921,43129128,43345218
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,The total for retail trade excludes North American Industry Classification System (NAICS) 454.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"This CANSIM table replaces terminated table 80-0014, 80-0015 and 80-0017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Quality indicator: Code A=Excellent. Code B=Very good. Code C=Good. Code D=Acceptable. Code E=Poor, use with caution. Code F=Unreliable (data not published).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Data for Northwest Territories includes Nunavut, from 1991-01 to 1998-12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"In April 2013, data from 2004 onwards will be based on the 2012 North American Industry Classification System (NAICS). Data prior to 2004 will continue to be based on the 2007 North American Industry Classification System (NAICS).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Statistics Canada. Table 080-0020 - Retail trade, sales by the North American Industry Classification System (NAICS), monthly (dollars)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(accessed: October 20, 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
